type,SRR13884240_filtered_seu_diploid,SRR13884247_filtered_seu_diploid,SRR13884248_filtered_seu_diploid,SRR13884249_filtered_seu_diploid,SRR14800534_filtered_seu_diploid,SRR14800535_filtered_seu_diploid,SRR14800536_filtered_seu_diploid,SRR14800539_filtered_seu_diploid,SRR14800543_filtered_seu_diploid,SRR17960480_filtered_seu_diploid,SRR17960483_filtered_seu_diploid,SRR27187899_filtered_seu_diploid,SRR27187901_filtered_seu_diploid,SRR27187902_filtered_seu_diploid
Bipolar Cells,29,0,17,0,0,0,0,0,0,0,0,0,0,0
Cones,48,115,128,733,776,181,251,1573,254,43,0,14,207,86
Early RPCs,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Microglia,0,0,0,0,0,0,0,0,0,97,0,0,1,0
Muller Glia,0,0,0,0,0,0,0,0,0,34,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Neurogenic Cells,51,4,29,61,9,0,7,0,0,0,0,28,11,38
Photoreceptor Precursors,0,0,0,0,0,0,0,2,0,0,0,2,0,0
Red Blood Cells,0,0,8,0,0,0,0,0,0,49,0,293,0,0
Rods,0,0,7,0,0,0,0,3,850,181,182,0,2,0
RPCs,0,0,0,0,0,0,0,0,0,0,0,10,0,0
