study,sample_id,mean_umi,mean_genes_detected,mean_percent_mt
alsf,SRX10831280,7568.140421263792,2678.0344366432632,1.169793898774444
alsf,SRX10831281,24194.68998109641,5300.1398865784495,1.7840329672909032
alsf,SRX10831282,14393.944844579226,4473.075246398787,1.8350769216522833
alsf,SRX10831283,13707.961833525125,4316.123705408516,1.0565438415322153
alsf,SRX10831286,21837.29191919192,5350.519191919192,2.4362178029207318
alsf,SRX10831287,12385.739648202774,4130.029717032667,3.26717172568977
collin,SRX10031191,3394.1704623878536,975.3857832988268,9.644448400690786
collin,SRX10031192,13337.708598193376,3537.491468718635,9.213177454881937
collin,SRX10031194,20280.80431372549,3488.058039215686,4.106615616114042
field,SRX14116944,9173.226430407141,2713.6681996483157,4.1564828664122215
field,SRX14116945,5596.389897205268,2277.3369739800837,1.5523745581656274
field,SRX14116946,9478.712434141202,2948.4511064278186,3.292712277948309
field,SRX14116947,17145.166939443534,4039.591380250955,4.420167538893094
field,SRX14116948,11830.202572347267,2814.563236870311,5.099329096450106
liu,SRX22868102,11716.476290832456,3206.9780630328573,5.753169311680219
liu,SRX22868103,11218.033359293873,3303.4615784008306,4.5034771547708505
liu,SRX22868104,13733.745069347246,3716.161979895661,8.395183064552649
liu,SRX22868105,12546.735983336226,3421.583666030203,4.100085345722208
wu,SRX10264517,7906.908001711596,2669.635857937527,2.6584074989581565
wu,SRX10264518,7461.037534686724,2576.5380458595005,2.7243414427366943
wu,SRX10264519,5818.921134143436,2157.5382416011435,2.6641991289415006
wu,SRX10264523,7191.362302391569,2700.982569922983,2.4544985181592476
wu,SRX10264524,8069.520108144643,2763.138475836431,2.100876731261435
wu,SRX10264525,6112.029166009775,2425.346760208103,1.419672353604689
wu,SRX10264526,7217.75947761194,2662.6808955223883,1.4044932281940203
yang,SRX11133585,10944.335093614978,2887.951992318771,3.104115281708925
yang,SRX11133586,8790.924832547755,2647.030017365418,2.3449848778201576
yang,SRX11133587,26972.83590664273,5651.618671454219,3.009440802427335
yang,SRX11133588,12908.66075949367,3538.551898734177,3.4416280770360816
yang,SRX11133589,21150.28216149831,4209.330672397912,3.115932371072609
yang,SRX11133590,9299.49206852792,2730.785850253807,2.2942070332937257
yang,SRX11133591,14599.275088387272,3941.757274952407,7.3533173507657805
yang,SRX11133592,10468.67651416929,3087.7861641044638,1.6807106611266023
yang,SRX11133593,18775.77631819011,4138.1339171684,3.8865287890050153
yang,SRX11133594,7043.10282902829,2528.1440754407545,4.4200108795284665
